start,end,high_risk,low_risk,high_reward,low_reward,direction
1733104200,1733105100.0,2637.24,2635.9,2641.259999999999,2637.24,Long
1733105340,1733105940.0,2635.04,2634.14,2637.7400000000002,2635.04,Long
1733106540,1733111160.0,2630.02,2629.72,2629.72,2628.8199999999993,Short
1733111280,1733112600.0,2628.23,2626.93,2632.1300000000006,2628.23,Long
1733112780,1733113080.0,2628.41,2628.3,2628.739999999999,2628.41,Long
1733113200,1733113230.0,2628.15,2627.49,2627.49,2625.509999999999,Short
1733113500,1733114280.0,2627.76,2627.74,2627.8200000000015,2627.76,Long
1733114400,1733115480.0,2629.55,2628.4,2628.4,2624.95,Short
1733115600,1733118600.0,2628.28,2627.81,2627.81,2626.399999999999,Short
1733118720,1733118840.0,2627.65,2627.47,2628.190000000001,2627.65,Long
1733119020,1733119680.0,2627.53,2625.5,2625.5,2619.4099999999994,Short
1733119980,1733120220.0,2624.3,2623.04,2628.080000000001,2624.3,Long
1733120520,1733120550.0,2624.08,2623.01,2627.289999999999,2624.08,Long
1733121120,1733121900.0,2624.76,2623.71,2623.71,2620.5599999999995,Short
1733122200,1733126400.0,2626.38,2625.89,2627.850000000001,2626.38,Long
1733126520,1733126760.0,2629.58,2629.23,2629.23,2628.1800000000003,Short
1733126820,1733126880.0,2629.01,2627.6,2633.240000000001,2629.01,Long
1733126940,1733126970.0,2629.75,2627.41,2627.41,2620.3899999999994,Short
1733127120,1733127300.0,2631.51,2628.96,2639.1600000000008,2631.51,Long
1733127420,1733127660.0,2630.49,2630.11,2630.11,2628.970000000001,Short
1733127720,1733127840.0,2631.39,2629.6,2636.7599999999998,2631.39,Long
1733127900,1733127960.0,2632.31,2631.68,2631.68,2629.7899999999995,Short
1733128620,1733129040.0,2628.87,2627.7,2627.7,2624.1899999999996,Short
1733129460,1733129940.0,2631.35,2630.48,2633.9599999999996,2631.35,Long
1733130840,1733134080.0,2633.98,2632.33,2638.9300000000003,2633.98,Long
1733134140,1733134260.0,2636.11,2635.35,2635.35,2633.0699999999993,Short
1733134320,1733134560.0,2636.81,2635.68,2640.2000000000003,2636.81,Long
1733134740,1733135040.0,2635.93,2635.32,2635.32,2633.490000000001,Short
1733135400,1733136720.0,2637.58,2636.36,2641.2399999999993,2637.58,Long
1733136960,1733137080.0,2635.3,2634.98,2634.98,2634.0199999999995,Short
1733137260,1733141040.0,2636.77,2635.63,2640.1899999999996,2636.77,Long
1733141280,1733141310.0,2641.04,2639.9,2639.9,2636.4800000000005,Short
1733141760,1733142240.0,2643.18,2642.75,2644.4699999999993,2643.18,Long
1733142300,1733143800.0,2643.61,2643.1,2643.1,2641.5699999999993,Short
1733143980,1733144280.0,2641.31,2640.32,2644.2799999999993,2641.31,Long
1733144580,1733145600.0,2639.02,2637.22,2637.22,2631.8199999999993,Short
1733145660,1733149860.0,2643.37,2641.54,2648.8599999999997,2643.37,Long
1733149920,1733149950.0,2647.91,2645.57,2645.57,2638.550000000001,Short
1733150100,1733150130.0,2648.75,2646.29,2646.29,2638.91,Short
1733150400,1733150460.0,2646.12,2645.55,2647.829999999999,2646.12,Long
1733150580,1733150610.0,2646.44,2645.43,2649.4700000000007,2646.44,Long
1733151180,1733151240.0,2645.34,2643.69,2643.69,2638.74,Short
1733151480,1733151900.0,2645.99,2645.55,2645.55,2644.2300000000014,Short
1733152200,1733152740.0,2647.78,2645.09,2645.09,2637.02,Short
1733153100,1733153160.0,2648.88,2647.4,2647.4,2642.96,Short
1733153280,1733153310.0,2646.91,2645.74,2645.74,2642.2299999999996,Short
1733153580,1733153760.0,2643.51,2642.96,2642.96,2641.3099999999995,Short
1733154000,1733156340.0,2645.06,2644.73,2644.73,2643.7400000000002,Short
1733156520,1733156580.0,2643.87,2640.5,2653.9799999999996,2643.87,Long
1733156820,1733157600.0,2643.48,2642.66,2642.66,2640.1999999999994,Short
1733157840,1733158140.0,2641.2,2640.49,2640.49,2638.3599999999997,Short
1733158620,1733158860.0,2641.98,2640.96,2645.04,2641.98,Long
1733159100,1733160360.0,2639.83,2639.28,2639.28,2637.630000000001,Short
1733160540,1733162040.0,2639.68,2639.32,2639.32,2638.240000000001,Short
1733162520,1733165640.0,2638.62,2637.91,2637.91,2635.7799999999997,Short
1733165820,1733169540.0,2637.13,2636.83,2638.0300000000007,2637.13,Long
1733169660,1733170440.0,2637.46,2636.6,2636.6,2634.0199999999995,Short
1733170560,1733173440.0,2639.52,2635.76,2650.7999999999993,2639.52,Long
1733173560,1733175840.0,2638.03,2637.79,2637.79,2637.0699999999993,Short
1733175960,1733180220.0,2638.63,2638.22,2639.860000000001,2638.63,Long
1733180460,1733184600.0,2638.69,2638.69,2638.69,2638.69,Long
1733185140,1733186640.0,2642.73,2642.09,2644.6499999999996,2642.73,Long
1733187060,1733187600.0,2642.48,2642.24,2642.24,2641.519999999999,Short
1733187720,1733187780.0,2641.85,2640.8,2644.999999999999,2641.85,Long
1733187900,1733188200.0,2642.91,2642.13,2645.249999999999,2642.91,Long
1733188440,1733188800.0,2644.11,2643.4,2646.2400000000002,2644.11,Long
1733189400,1733193540.0,2639.89,2637.89,2637.89,2631.89,Short
1733193720,1733194560.0,2636.49,2634.7,2641.8599999999997,2636.49,Long
1733194740,1733194770.0,2637.4,2636.59,2639.83,2637.4,Long
1733194920,1733194980.0,2637.62,2636.71,2640.3499999999995,2637.62,Long
1733195160,1733195220.0,2637.64,2636.59,2636.59,2633.440000000001,Short
1733195340,1733200500.0,2637.34,2636.71,2639.2300000000005,2637.34,Long
1733200860,1733200890.0,2639.5,2639.44,2639.68,2639.5,Long
1733201040,1733203740.0,2639.72,2639.62,2639.62,2639.32,Short
1733203860,1733204280.0,2639.81,2639.16,2639.16,2637.2099999999996,Short
1733204340,1733204580.0,2639.17,2638.09,2642.41,2639.17,Long
1733204760,1733204790.0,2639.79,2639.15,2639.15,2637.2300000000005,Short
1733204880,1733209560.0,2640.2,2639.03,2643.7099999999987,2640.2,Long
1733209680,1733216040.0,2646.65,2646.37,2646.37,2645.5299999999993,Short
1733216820,1733219340.0,2646.59,2646.03,2648.27,2646.59,Long
1733220000,1733222940.0,2645.14,2644.01,2644.01,2640.6200000000013,Short
1733223120,1733223240.0,2644.59,2644.59,2644.59,2644.59,Long
1733223300,1733224620.0,2644.5,2643.96,2643.96,2642.34,Short
1733224740,1733225700.0,2644.65,2643.66,2647.620000000001,2644.65,Long
1733225820,1733225940.0,2644.17,2643.62,2645.8200000000006,2644.17,Long
1733226420,1733226720.0,2644.33,2643.57,2646.609999999999,2644.33,Long
1733227020,1733227140.0,2644.3,2643.67,2646.1900000000005,2644.3,Long
1733227440,1733231220.0,2643.63,2643.29,2643.29,2642.2699999999995,Short
1733231640,1733236680.0,2643.08,2642.12,2645.96,2643.08,Long
1733237100,1733241120.0,2651.49,2650.21,2650.21,2646.370000000001,Short
1733241180,1733241360.0,2639.93,2639.47,2641.31,2639.93,Long
1733242080,1733242110.0,2641.26,2639.72,2639.72,2635.0999999999985,Short
1733242380,1733247120.0,2640.37,2639.69,2642.4099999999994,2640.37,Long
1733247180,1733248680.0,2645.72,2645.43,2645.43,2644.56,Short
1733248800,1733249280.0,2647.47,2647.2,2648.2799999999997,2647.47,Long
1733249520,1733249580.0,2646.35,2645.57,2648.689999999999,2646.35,Long
1733249820,1733250000.0,2645.3,2644.35,2644.35,2641.499999999999,Short
1733250120,1733250150.0,2645.84,2644.48,2649.9200000000005,2645.84,Long
1733250240,1733250420.0,2645.99,2645.13,2648.569999999999,2645.99,Long
1733251020,1733252280.0,2644.97,2644.56,2644.56,2643.3300000000004,Short
1733252340,1733252370.0,2646.32,2645.96,2647.4000000000005,2646.32,Long
1733252640,1733252940.0,2646.01,2645.32,2648.0800000000004,2646.01,Long
1733253120,1733256360.0,2645.08,2644.95,2644.95,2644.5599999999995,Short
1733256540,1733259120.0,2643.73,2643.16,2645.4400000000005,2643.73,Long
1733259240,1733260860.0,2642.45,2642.01,2642.01,2640.6900000000014,Short
1733260920,1733260980.0,2642.27,2641.95,2643.2300000000005,2642.27,Long
1733261460,1733267280.0,2643.06,2642.89,2643.57,2643.06,Long
1733267400,1733270100.0,2642.24,2640.8,2640.8,2636.4800000000014,Short
1733270160,1733272200.0,2642.6,2642.36,2643.3199999999993,2642.6,Long
1733272680,1733275800.0,2641.82,2641.08,2641.08,2638.859999999999,Short
1733276100,1733276220.0,2641.27,2639.89,2639.89,2635.7499999999995,Short
1733276400,1733276430.0,2640.64,2640.4,2640.4,2639.6800000000007,Short
1733276580,1733276610.0,2640.96,2639.52,2639.52,2635.2,Short
1733276820,1733276940.0,2640.24,2638.2,2638.2,2632.08,Short
1733277000,1733280720.0,2640.09,2639.59,2641.59,2640.09,Long
1733281020,1733281080.0,2644.98,2644.1,2644.1,2641.4599999999996,Short
