time,open,high,low,close,color,moving_average,color_moving_average
1732597200,2625.77,2626.15,2625.77,2625.86,#450C69,2627.3419999999987,#ef5350
1732597260,2625.88,2625.88,2625.84,2625.84,,2627.2735999999986,#ef5350
1732597320,2625.86,2626.18,2625.85,2626.18,,2627.1971999999987,#ef5350
1732597380,2626.05,2626.05,2625.36,2625.36,,2627.1325999999985,#ef5350
1732597440,2625.3,2625.49,2625.3,2625.49,,2627.0709999999985,#ef5350
1732597500,2625.64,2625.64,2625.3,2625.51,#450C69,2627.0059999999985,#ef5350
1732597560,2625.26,2625.26,2625.22,2625.22,,2626.931799999999,#ef5350
1732597620,2625.51,2625.51,2624.94,2624.95,,2626.8511999999987,#ef5350
1732597680,2624.53,2624.94,2624.48,2624.48,#450C69,2626.7721999999985,#ef5350
1732597740,2624.49,2624.49,2624.49,2624.49,#450C69,2626.6781999999985,#ef5350
1732597800,2624.72,2625.21,2624.49,2624.49,#450C69,2626.5865999999987,#ef5350
1732597860,2624.93,2624.93,2624.57,2624.57,,2626.480599999999,#ef5350
1732597920,2624.39,2624.93,2623.28,2623.28,,2626.390199999999,#ef5350
1732597980,2623.5,2624.07,2623.5,2624.07,,2626.261199999999,#ef5350
1732598040,2623.58,2623.58,2622.38,2622.38,,2626.147599999999,#ef5350
1732598100,2621.84,2623.24,2621.84,2623.24,,2626.023799999999,#ef5350
1732598160,2622.68,2622.68,2622.44,2622.44,,2625.9071999999987,#ef5350
1732598220,2622.31,2622.66,2622.17,2622.66,,2625.7977999999985,#ef5350
1732598280,2622.07,2622.66,2622.07,2622.66,,2625.676799999999,#ef5350
1732598340,2622.09,2622.09,2621.99,2621.99,,2625.558799999999,#ef5350
1732598400,2622.1,2622.1,2621.73,2621.99,#450C69,2625.463199999999,#ef5350
1732598460,2621.83,2622.51,2621.83,2622.51,,2625.364999999999,#ef5350
1732598520,2622.68,2622.68,2621.83,2622.52,#450C69,2625.277599999999,#ef5350
1732598580,2622.86,2623.49,2622.54,2622.54,#450C69,2625.225199999999,#ef5350
1732598640,2623.91,2623.91,2623.71,2623.71,,2625.1641999999993,#ef5350
1732598700,2624.21,2624.21,2623.7,2623.71,,2625.0917999999992,#ef5350
1732598760,2623.61,2623.61,2623.19,2623.19,,2625.0172,#ef5350
1732598820,2623.48,2623.89,2623.48,2623.89,,2624.9201999999996,#ef5350
1732598880,2623.36,2623.36,2623.14,2623.14,,2624.8123999999993,#ef5350
1732598940,2622.56,2623.39,2622.36,2622.36,#450C69,2624.7034,#ef5350
1732599000,2622.03,2622.31,2621.52,2622.31,#450C69,2624.5856,#ef5350
1732599060,2620.26,2621.2,2620.26,2621.2,,2624.4565999999995,#ef5350
1732599120,2620.86,2620.96,2620.63,2620.63,,2624.3357999999994,#ef5350
1732599180,2620.67,2620.67,2620.57,2620.57,,2624.1518,#ef5350
1732599240,2620.16,2620.67,2617.98,2617.98,,2624.0195999999996,#ef5350
1732599300,2619.27,2620.43,2619.27,2619.74,#450C69,2623.9081999999994,#ef5350
1732599360,2620.68,2620.68,2620.4,2620.4,,2623.8301999999994,#ef5350
